origin_country,origin_airport,origin_city,n_routes
United States,LWB,Lewisburg,1
United States,MCN,Macon,1
United States,MEI,Meridian,1
United States,MSL,Muscle Shoals,1
United States,PIB,Hattiesburg/Laurel,1
United States,TUP,Tupelo,1
United States,AZO,Kalamazoo,1
United States,CHA,Chattanooga,2
United States,CRW,Charleston,2
United States,CVG,Cincinnati,2
United States,EVV,Evansville,1
United States,FWA,Fort Wayne,1
United States,GSO,Greensboro,2
United States,GSP,Greenville,2
United States,LAN,Lansing,1
United States,LEX,Lexington KY,2
United States,MBS,Saginaw,1
United States,MDT,Harrisburg,2
United States,MSP,Minneapolis,3
United States,ROA,Roanoke VA,2
United States,SYR,Syracuse,2
United States,TYS,Knoxville,2
United States,XNA,Bentonville,2
United States,DFW,Dallas-Fort Worth,3
United States,MIA,Miami,2
France,CDG,Paris,2
Mexico,MEX,Mexico City,3
United States,PDX,Portland,2
United States,SEA,Seattle,2
Germany,FRA,Frankfurt,3
United Kingdom,LHR,London,2
United States,ABE,Allentown,1
United States,ABQ,Albuquerque,1
United States,AGS,Bush Field,1
United States,ALB,Albany,1
Netherlands,AMS,Amsterdam,2
Aruba,AUA,Oranjestad,2
United States,AUS,Austin,3
United States,AVL,Asheville,1
Bermuda,BDA,Bermuda,1
United States,BDL,Windsor Locks,2
United States,BHM,Birmingham,1
United States,BNA,Nashville,1
Colombia,BOG,Bogota,1
Netherlands Antilles,BON,Kralendijk,1
United States,BOS,Boston,3
Belgium,BRU,Brussels,1
Brazil,BSB,Brasilia,1
United States,BTR,Baton Rouge,1
United States,BUF,Buffalo,1
United States,BWI,Baltimore,3
Belize,BZE,Belize City,1
United States,CAE,Columbia,1
United States,CAK,Akron,3
Venezuela,CCS,Caracas,1
United States,CHS,Charleston,1
United States,CLE,Cleveland,1
United States,CLT,Charlotte,2
United States,CMH,Columbus,2
United States,COS,Colorado Springs,1
Mexico,CUN,Cancun,2
Mexico,CZM,Cozumel,1
United States,DAB,Daytona Beach,1
United States,DAL,Dallas,1
United States,DAY,Dayton,2
United States,DCA,Washington,3
United States,DEN,Denver,4
United States,DSM,Des Moines,1
United States,DTW,Detroit,2
Ireland,DUB,Dublin,1
Germany,DUS,Duesseldorf,1
United Arab Emirates,DXB,Dubai,1
United States,ECP,Panama City,1
United States,ELP,El Paso,1
United States,EWR,Newark,1
United States,EYW,Key West,1
Argentina,EZE,Buenos Aires,1
United States,FAY,Fayetteville,1
Italy,FCO,Rome,1
United States,FLL,Fort Lauderdale,4
United States,FNT,Flint,1
Bahamas,FPO,Freeport,1
Cayman Islands,GCM,Georgetown,1
Mexico,GDL,Guadalajara,1
Brazil,GIG,Rio De Janeiro,1
United States,GNV,Gainesville,1
United States,GPT,Gulfport,1
United States,GRR,Grand Rapids,1
Brazil,GRU,Sao Paulo,1
Guatemala,GUA,Guatemala City,1
United States,HNL,Honolulu,1
United States,HOU,Houston,3
United States,HSV,Huntsville,1
United States,IAD,Washington,1
United States,IAH,Houston,1
United States,ICT,Wichita,1
United States,ILM,Wilmington,1
United States,IND,Indianapolis,2
United States,JAN,Jackson,1
United States,JAX,Jacksonville,3
United States,JFK,New York,1
South Africa,JNB,Johannesburg,1
Jamaica,KIN,Kingston,1
United States,LAS,Las Vegas,3
United States,LAX,Los Angeles,3
United States,LGA,New York,3
Peru,LIM,Lima,1
Costa Rica,LIR,Liberia,1
United States,LIT,Little Rock,1
Nigeria,LOS,Lagos,1
Spain,MAD,Madrid,1
United Kingdom,MAN,Manchester,1
Jamaica,MBJ,Montego Bay,2
United States,MCI,Kansas City,3
United States,MCO,Orlando,3
United States,MDW,Chicago,3
United States,MEM,Memphis,1
Nicaragua,MGA,Managua,1
United States,MHT,Manchester NH,1
United States,MKE,Milwaukee,2
United States,MLB,Melbourne,1
United States,MOB,Mobile,1
United States,MSN,Madison,1
United States,MSY,New Orleans,3
Germany,MUC,Munich,1
United States,MYR,Myrtle Beach,1
Bahamas,NAS,Nassau,2
Japan,NRT,Tokyo,1
United States,OKC,Oklahoma City,2
United States,OMA,Omaha,1
United States,ORD,Chicago,1
United States,ORF,Norfolk,2
Haiti,PAP,Port-au-prince,1
United States,PBI,West Palm Beach,2
United States,PHL,Philadelphia,3
United States,PHX,Phoenix,3
United States,PIT,Pittsburgh,2
Turks and Caicos Islands,PLS,Providenciales,1
United States,PNS,Pensacola,1
Panama,PTY,Panama City,1
Dominican Republic,PUJ,Punta Cana,2
United States,PVD,Providence,1
Mexico,PVR,Puerto Vallarta,1
United States,RDU,Raleigh-durham,2
United States,RIC,Richmond,2
United States,ROC,Rochester,1
United States,RSW,Fort Myers,3
Honduras,RTB,Roatan,1
El Salvador,SAL,San Salvador,1
United States,SAN,San Diego,2
Honduras,SAP,San Pedro Sula,1
United States,SAT,San Antonio,3
United States,SAV,Savannah,1
Chile,SCL,Santiago,1
United States,SDF,Louisville,3
Dominican Republic,SDQ,Santo Domingo,1
United States,SFO,San Francisco,4
United States,SJC,San Jose,1
Mexico,SJD,San Jose Del Cabo,1
Costa Rica,SJO,San Jose,1
Puerto Rico,SJU,San Juan,2
United States,SLC,Salt Lake City,1
United States,SMF,Sacramento,1
United States,SNA,Santa Ana,1
United States,SRQ,Sarasota,1
United States,STL,St. Louis,3
Germany,STR,Stuttgart,1
Virgin Islands,STT,St. Thomas,1
Netherlands Antilles,SXM,Philipsburg,1
Honduras,TGU,Tegucigalpa,1
United States,TLH,Tallahassee,1
United States,TPA,Tampa,3
United States,TRI,BRISTOL,1
United States,TUL,Tulsa,1
United States,TUS,Tucson,1
Ecuador,UIO,Quito,1
Saint Lucia,UVF,Hewandorra,1
United States,VPS,Valparaiso,1
Canada,YYZ,Toronto,1
Switzerland,ZRH,Zurich,1
United States,TTN,Trenton,1
South Korea,ICN,Seoul,1
